STORE,ZONE_ID,NAME,CURRENCY_CODE
2715,5,UK National,GBP
2731,5,UK National,GBP
2747,5,UK National,GBP
2748,5,UK National,GBP
2751,5,UK National,GBP
2764,5,UK National,GBP
2765,5,UK National,GBP
2767,5,UK National,GBP
2770,5,UK National,GBP
2772,5,UK National,GBP
2785,5,UK National,GBP
2787,5,UK National,GBP
2788,5,UK National,GBP
2789,5,UK National,GBP
2790,5,UK National,GBP
2797,5,UK National,GBP
2799,5,UK National,GBP
2800,5,UK National,GBP
2802,5,UK National,GBP
2804,5,UK National,GBP
2806,5,UK National,GBP
2808,5,UK National,GBP
2812,5,UK National,GBP
2813,5,UK National,GBP
2814,5,UK National,GBP
2815,5,UK National,GBP
2821,5,UK National,GBP
2822,5,UK National,GBP
2825,5,UK National,GBP
2827,5,UK National,GBP
2829,5,UK National,GBP
2831,5,UK National,GBP
2832,5,UK National,GBP
2833,5,UK National,GBP
2834,5,UK National,GBP
2836,5,UK National,GBP
2838,5,UK National,GBP
2840,5,UK National,GBP
2841,5,UK National,GBP
2843,5,UK National,GBP
2845,5,UK National,GBP
2848,5,UK National,GBP
2849,5,UK National,GBP
2851,5,UK National,GBP
2855,5,UK National,GBP
2856,5,UK National,GBP
2857,5,UK National,GBP
2860,5,UK National,GBP
2865,5,UK National,GBP
2869,5,UK National,GBP
2872,5,UK National,GBP
2875,5,UK National,GBP
2876,5,UK National,GBP
2877,5,UK National,GBP
2878,5,UK National,GBP
2880,5,UK National,GBP
2882,5,UK National,GBP
2884,5,UK National,GBP
2885,5,UK National,GBP
2886,5,UK National,GBP
2888,5,UK National,GBP
2889,5,UK National,GBP
2891,5,UK National,GBP
2894,5,UK National,GBP
2896,5,UK National,GBP
2898,5,UK National,GBP
2900,5,UK National,GBP
2903,5,UK National,GBP
2905,5,UK National,GBP
2906,5,UK National,GBP
2909,5,UK National,GBP
2910,5,UK National,GBP
2913,5,UK National,GBP
2917,5,UK National,GBP
2918,5,UK National,GBP
2919,5,UK National,GBP
2920,5,UK National,GBP
2922,5,UK National,GBP
2923,5,UK National,GBP
2924,5,UK National,GBP
2926,5,UK National,GBP
2927,5,UK National,GBP
2931,5,UK National,GBP
2933,5,UK National,GBP
2934,5,UK National,GBP
2938,5,UK National,GBP
2940,5,UK National,GBP
2941,5,UK National,GBP
2943,5,UK National,GBP
2946,5,UK National,GBP
2947,5,UK National,GBP
2948,5,UK National,GBP
2949,5,UK National,GBP
2952,5,UK National,GBP
2955,5,UK National,GBP
2956,5,UK National,GBP
2960,5,UK National,GBP
2962,5,UK National,GBP
2963,5,UK National,GBP
2964,5,UK National,GBP
2967,5,UK National,GBP
2969,5,UK National,GBP
2971,5,UK National,GBP
2978,5,UK National,GBP
2987,5,UK National,GBP
2990,5,UK National,GBP
2992,5,UK National,GBP
2994,5,UK National,GBP
3000,5,UK National,GBP
3007,5,UK National,GBP
3009,5,UK National,GBP
3012,5,UK National,GBP
3013,5,UK National,GBP
3015,5,UK National,GBP
3017,5,UK National,GBP
3019,5,UK National,GBP
3021,5,UK National,GBP
3023,5,UK National,GBP
3026,5,UK National,GBP
3030,5,UK National,GBP
3031,5,UK National,GBP
3032,5,UK National,GBP
3033,5,UK National,GBP
3036,5,UK National,GBP
3040,5,UK National,GBP
3041,5,UK National,GBP
3045,5,UK National,GBP
3047,5,UK National,GBP
3048,5,UK National,GBP
3050,5,UK National,GBP
3052,5,UK National,GBP
3053,5,UK National,GBP
3055,5,UK National,GBP
3057,5,UK National,GBP
3060,5,UK National,GBP
3063,5,UK National,GBP
3065,5,UK National,GBP
3066,5,UK National,GBP
3067,5,UK National,GBP
3074,5,UK National,GBP
3078,5,UK National,GBP
3084,5,UK National,GBP
3086,5,UK National,GBP
3088,5,UK National,GBP
3095,5,UK National,GBP
3097,5,UK National,GBP
3099,5,UK National,GBP
3100,5,UK National,GBP
3101,5,UK National,GBP
3107,5,UK National,GBP
3108,5,UK National,GBP
3111,5,UK National,GBP
3112,5,UK National,GBP
3115,5,UK National,GBP
3120,5,UK National,GBP
3129,5,UK National,GBP
3130,5,UK National,GBP
3133,5,UK National,GBP
3137,5,UK National,GBP
3140,5,UK National,GBP
3142,5,UK National,GBP
3144,5,UK National,GBP
3145,5,UK National,GBP
3147,5,UK National,GBP
3149,5,UK National,GBP
3150,5,UK National,GBP
3151,5,UK National,GBP
3154,5,UK National,GBP
3159,5,UK National,GBP
3162,5,UK National,GBP
3164,5,UK National,GBP
3177,5,UK National,GBP
3178,5,UK National,GBP
3180,5,UK National,GBP
3181,5,UK National,GBP
3184,5,UK National,GBP
3186,5,UK National,GBP
3188,5,UK National,GBP
3189,5,UK National,GBP
3190,5,UK National,GBP
3192,5,UK National,GBP
3193,5,UK National,GBP
3195,5,UK National,GBP
3200,5,UK National,GBP
3202,5,UK National,GBP
3204,5,UK National,GBP
3205,5,UK National,GBP
3209,5,UK National,GBP
3212,5,UK National,GBP
3213,5,UK National,GBP
3217,5,UK National,GBP
3219,5,UK National,GBP
3220,5,UK National,GBP
3222,5,UK National,GBP
3223,5,UK National,GBP
3224,5,UK National,GBP
3230,5,UK National,GBP
3232,5,UK National,GBP
3234,5,UK National,GBP
3235,5,UK National,GBP
3238,5,UK National,GBP
3239,5,UK National,GBP
3240,5,UK National,GBP
3241,5,UK National,GBP
3245,5,UK National,GBP
3249,5,UK National,GBP
3279,5,UK National,GBP
3281,5,UK National,GBP
3283,5,UK National,GBP
3284,5,UK National,GBP
3286,5,UK National,GBP
3287,5,UK National,GBP
3288,5,UK National,GBP
3290,5,UK National,GBP
3291,5,UK National,GBP
3293,5,UK National,GBP
3297,5,UK National,GBP
3299,5,UK National,GBP
3300,5,UK National,GBP
3304,5,UK National,GBP
3309,5,UK National,GBP
3310,5,UK National,GBP
3316,5,UK National,GBP
3323,5,UK National,GBP
3324,5,UK National,GBP
3325,5,UK National,GBP
3327,5,UK National,GBP
3330,5,UK National,GBP
3332,5,UK National,GBP
3333,5,UK National,GBP
3335,5,UK National,GBP
3340,5,UK National,GBP
3344,5,UK National,GBP
3345,5,UK National,GBP
3348,5,UK National,GBP
3356,5,UK National,GBP
3362,5,UK National,GBP
3370,5,UK National,GBP
3372,5,UK National,GBP
3373,5,UK National,GBP
3377,5,UK National,GBP
3378,5,UK National,GBP
3380,5,UK National,GBP
3383,5,UK National,GBP
3384,5,UK National,GBP
3385,5,UK National,GBP
3387,5,UK National,GBP
3389,5,UK National,GBP
3390,5,UK National,GBP
3395,5,UK National,GBP
3398,5,UK National,GBP
3399,5,UK National,GBP
3400,5,UK National,GBP
3401,5,UK National,GBP
3404,5,UK National,GBP
3406,5,UK National,GBP
3411,5,UK National,GBP
3412,5,UK National,GBP
3414,5,UK National,GBP
3417,5,UK National,GBP
3420,5,UK National,GBP
3421,5,UK National,GBP
3422,5,UK National,GBP
3425,5,UK National,GBP
3430,5,UK National,GBP
3433,5,UK National,GBP
3435,5,UK National,GBP
