"STORE","ZONE_ID","CURRENCY_CODE","ZONE_TYPE"
5227,8,"GBP",2
5228,8,"GBP",2
5229,8,"GBP",2
5230,8,"GBP",2
5233,8,"GBP",2
5234,8,"GBP",2
5235,8,"GBP",2
5238,8,"GBP",2
5240,8,"GBP",2
5241,8,"GBP",2
5242,8,"GBP",2
5243,8,"GBP",2
5244,8,"GBP",2
5246,8,"GBP",2
5247,8,"GBP",2
5248,8,"GBP",2
5250,8,"GBP",2
5251,8,"GBP",2
5252,8,"GBP",2
5253,8,"GBP",2
5254,8,"GBP",2
5256,8,"GBP",2
5257,8,"GBP",2
5258,8,"GBP",2
5259,8,"GBP",2
5260,8,"GBP",2
